seqnames	start	end	width	strand	component	qvalue	enrichment
chr21	43939251	43939500	250	*	1	4.69883760617155e-140	1.37891156467357
chr21	43646751	43647000	250	*	1	2.52007301061379e-137	1.42361107606356
chr21	43810751	43811000	250	*	1	1.86405091047294e-121	1.30519107470966
chr21	43939001	43939250	250	*	1	2.10822956170874e-121	1.19820273984908
chr21	37712251	37712500	250	*	1	6.35714014374947e-118	1.7098939550432
chr21	36028501	36028750	250	*	1	2.16919633460734e-115	1.37269454150911
chr21	25801501	25801750	250	*	1	1.9329459935232e-113	1.53309156695784
chr21	36141501	36141750	250	*	1	1.90323474488907e-112	1.44456066593268
chr21	45556001	45556250	250	*	1	1.1221580374328e-107	1.25131405018754
chr21	15483251	15483500	250	*	1	7.43054191777164e-107	1.30045597526793
chr21	43789251	43789500	250	*	1	6.14960038302394e-102	1.25536817481213
chr21	42450001	42450250	250	*	1	7.36569798501685e-101	1.14120793152051
chr21	38734001	38734250	250	*	1	5.61181774479012e-100	1.33127879974429
chr21	42309751	42310000	250	*	1	2.58067395978072e-97	1.25252991121055
chr21	33924001	33924250	250	*	1	4.91471702836424e-97	1.35145042671711
chr21	36977001	36977250	250	*	1	5.281234430672e-97	1.27307951234491
chr21	43789501	43789750	250	*	1	8.68426436513041e-97	1.51132375389302
chr21	41283251	41283500	250	*	1	8.88187205979915e-97	1.43952216718466
chr21	42145501	42145750	250	*	1	2.92081957117066e-96	1.21988885525462
chr21	45292501	45292750	250	*	1	1.31013835498634e-95	1.20893732194375
chr21	25608251	25608500	250	*	1	1.74389261016188e-95	1.25738100490639
chr21	38356001	38356250	250	*	1	4.63730458443606e-95	1.53428631232155
chr21	44297751	44298000	250	*	1	1.33214714033669e-94	1.18060711699813
chr21	36420001	36420250	250	*	1	1.39184636946812e-94	1.32889553727997
chr21	42117501	42117750	250	*	1	3.7781683042437e-94	1.2326351046513
chr21	34745501	34745750	250	*	1	3.50841955592522e-93	1.42808342607903
chr21	37675251	37675500	250	*	1	2.76450897826793e-91	1.46760495933997
chr21	26170751	26171000	250	*	1	6.22859068693018e-91	1.67626076961606
chr21	44932751	44933000	250	*	1	1.53717620754027e-90	1.38064280737496
chr21	45555001	45555250	250	*	1	2.11497355675847e-90	1.49050059641221
chr21	45596751	45597000	250	*	1	9.14983896880592e-86	1.40396129492318
chr21	37010001	37010250	250	*	1	1.64272291667397e-85	1.30028404556786
chr21	43975501	43975750	250	*	1	1.85628520266068e-84	1.31137086968052
chr21	32258501	32258750	250	*	1	3.47898753704466e-84	1.86787160555478
chr21	29849751	29850000	250	*	1	7.32567206907943e-84	1.4425802912173
chr21	44949751	44950000	250	*	1	1.37327297230423e-83	1.30831560270553
chr21	45439501	45439750	250	*	1	1.37327297230423e-83	1.30831560270553
chr21	42164501	42164750	250	*	1	9.16241453962474e-82	1.30212007097844
chr21	33361251	33361500	250	*	1	5.09731372609252e-81	1.15510495522659
chr21	44892751	44893000	250	*	1	9.63509945185432e-79	1.32321380211662
chr21	44510501	44510750	250	*	1	2.32985261187834e-77	1.41903456868594
chr21	42593251	42593500	250	*	1	2.09056879798348e-76	1.44096974496149
chr21	45970751	45971000	250	*	1	2.09056879798348e-76	1.50055931698325
chr21	45128751	45129000	250	*	1	6.50218222108196e-75	1.13428179774578
chr21	14864751	14865000	250	*	1	3.28882947766105e-74	1.18791518992356
chr21	36927751	36928000	250	*	1	3.32803279687822e-74	1.30639882844304
chr21	34890001	34890250	250	*	1	1.18931568573148e-73	1.52485173632633
chr21	36422251	36422500	250	*	1	8.16509701544423e-72	1.2658280976555
chr21	34510501	34510750	250	*	1	9.08139400456934e-72	1.42268400393972
chr21	25607501	25607750	250	*	1	1.18104957112934e-71	1.28036281107305
chr21	42258751	42259000	250	*	1	1.35999714925064e-71	1.17812283771697
chr21	36112751	36113000	250	*	1	3.92672637931942e-71	1.24871318871306
chr21	32601001	32601250	250	*	1	5.75910943798346e-70	1.54964548405102
chr21	45140501	45140750	250	*	1	2.44029110814568e-69	1.19132736984104
chr21	25881751	25882000	250	*	1	2.84978720347793e-69	1.34234023417779
chr21	39138251	39138500	250	*	1	8.58343865999553e-69	1.28503755102836
chr21	32772001	32772250	250	*	1	1.10996919880789e-68	1.00100151981347
chr21	38352751	38353000	250	*	1	1.68318074031e-68	1.31934091990967
chr21	45820501	45820750	250	*	1	3.59935492988223e-67	1.26227483769402
chr21	28745751	28746000	250	*	1	3.9892601576627e-67	1.43106279317753
chr21	25801751	25802000	250	*	1	5.28494407829303e-67	1.27760290245231
chr21	41816751	41817000	250	*	1	5.23927520107781e-66	1.21453691544569
chr21	34351751	34352000	250	*	1	8.44907390438051e-66	1.22712207642223
chr21	45820751	45821000	250	*	1	8.44907390438051e-66	1.22712207642223
chr21	31086501	31086750	250	*	1	9.95933719228858e-65	1.32299701474276
chr21	25421751	25422000	250	*	1	1.45452121487583e-64	1.02449046683485
chr21	38170251	38170500	250	*	1	2.02051256400605e-64	1.39117422999019
chr21	34603001	34603250	250	*	1	1.35001480163246e-63	1.1915761570325
chr21	34348001	34348250	250	*	1	3.78322028691568e-62	1.29193602055795
chr21	45137251	45137500	250	*	1	7.333128844652e-62	1.33137244099313
chr21	34362001	34362250	250	*	1	6.09570113337748e-61	1.18010492666467
chr21	31580751	31581000	250	*	1	6.51728096345427e-61	1.23518708416173
chr21	36504251	36504500	250	*	1	8.200593174347e-60	1.18775904743461
chr21	33199751	33200000	250	*	1	1.18508046643957e-58	1.03267383612364
chr21	17925001	17925250	250	*	1	5.82748691340276e-58	1.36093698600803
chr21	28745251	28745500	250	*	1	5.82748691340276e-58	1.36093698600803
chr21	45973751	45974000	250	*	1	5.06433410639595e-56	1.18351032628216
chr21	38126751	38127000	250	*	1	4.31151273474117e-55	1.37407522649413
chr21	39126001	39126250	250	*	1	4.31151273474117e-55	1.37407522649413
chr21	41460751	41461000	250	*	1	9.9062746813188e-55	1.27604157610499
chr21	28745001	28745250	250	*	1	2.05334569801601e-54	1.31811345293939
